"2017-06-15 20:05:45 [main] INFO  c.c.invoicing.InvoicingApplication - Starting InvoicingApplication on DESKTOP-560J6HB with PID 8712 (C:\Users\User\Desktop\invoicing\target\classes started by User in C:\Users\User\Desktop\invoicing)
""2017-06-15 20:31:30 [https-jsse-nio-9000-exec-9] INFO  c.c.i.services.InvoiceService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: invoice a objekat je: Invoice{invoice_id=240, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 20:31:30 CEST 2017, invoice_number=1, date_of_currency=Thu Jun 15 20:31:30 CEST 2017, total_tax_basis=0.0, total_vat=0.0, total_price=0.0, billing_account='1234567890', reference_number='97'}
""2017-06-15 20:31:30 [https-jsse-nio-9000-exec-9] INFO  c.c.i.services.Invoice_itemService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: invoice_item a objekat je: Invoice_item{invoice_item_id=250, invoice=Invoice{invoice_id=240, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 20:31:30 CEST 2017, invoice_number=1, date_of_currency=Thu Jun 15 20:31:30 CEST 2017, total_tax_basis=30000.0, total_vat=6000.0, total_price=30200.0, billing_account='1234567890', reference_number='97'}, item=Item{item_id=60, item_group=Item_group{item_group_id=30, vat_type=Vat_type{vat_type_id=10, name='porez'}, name='elektrotehnika'}, units_of_measurement=Units_of_measurement{units_of_measurement_id=40, abbreviation='kom', name='komad'}, name='racunar', description='null', is_service=false}, total_amount=30, price=1000.0, discount=0.0, vat_basis=1000.0, vat_rate=20.0, vat_amount=200.0, total_price=30200.0}
""2017-06-15 20:31:30 [https-jsse-nio-9000-exec-9] INFO  c.c.i.services.InvoiceService - Korisnik sa username: worker1 je uradio operaciju: update u tabeli: invoice a objekat je: Invoice{invoice_id=240, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 20:31:30 CEST 2017, invoice_number=1, date_of_currency=Thu Jun 15 20:31:30 CEST 2017, total_tax_basis=30000.0, total_vat=6000.0, total_price=30200.0, billing_account='1234567890', reference_number='97'}
""2017-06-15 20:32:22 [https-jsse-nio-9000-exec-1] INFO  c.c.i.services.InvoiceService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: invoice a objekat je: Invoice{invoice_id=241, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 01:00:00 CEST 2017, invoice_number=1, date_of_currency=Thu Jun 15 01:01:00 CEST 2017, total_tax_basis=0.0, total_vat=0.0, total_price=0.0, billing_account='1234567890', reference_number='97'}
""2017-06-15 20:38:38 [main] INFO  c.c.invoicing.InvoicingApplication - Starting InvoicingApplication on DESKTOP-560J6HB with PID 6772 (C:\Users\User\Desktop\invoicing\target\classes started by User in C:\Users\User\Desktop\invoicing)
""2017-06-15 20:38:38 [main] INFO  c.c.invoicing.InvoicingApplication - No active profile set, falling back to default profiles: default
""2017-06-15 20:38:51 [main] INFO  c.c.invoicing.InvoicingApplication - Started InvoicingApplication in 13.136 seconds (JVM running for 13.761)
""2017-06-15 20:39:05 [https-jsse-nio-9000-exec-7] INFO  c.c.i.s.AuthenticationRestController - Korisnik sa username: worker1 se uspesno ulogovao.
""2017-06-15 20:39:46 [https-jsse-nio-9000-exec-10] INFO  c.c.i.services.InvoiceService - Korisnik sa username: worker1 je uradio operaciju: update u tabeli: invoice a objekat je: Invoice{invoice_id=241, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 01:00:00 CEST 2017, invoice_number=1, date_of_currency=Thu Jun 15 01:01:00 CEST 2017, total_tax_basis=99000.0, total_vat=29700.0, total_price=100287.0, billing_account='1234567890', reference_number='97'}
""2017-06-15 20:39:46 [https-jsse-nio-9000-exec-10] INFO  c.c.i.services.Invoice_itemService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: invoice_item a objekat je: Invoice_item{invoice_item_id=260, invoice=Invoice{invoice_id=241, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 01:00:00 CEST 2017, invoice_number=1, date_of_currency=Thu Jun 15 01:01:00 CEST 2017, total_tax_basis=99000.0, total_vat=29700.0, total_price=100287.0, billing_account='1234567890', reference_number='97'}, item=Item{item_id=60, item_group=Item_group{item_group_id=30, vat_type=Vat_type{vat_type_id=10, name='porez'}, name='elektrotehnika'}, units_of_measurement=Units_of_measurement{units_of_measurement_id=40, abbreviation='kom', name='komad'}, name='racunar', description='null', is_service=false}, total_amount=100, price=1000.0, discount=10.0, vat_basis=990.0, vat_rate=30.0, vat_amount=297.0, total_price=100287.0}
""2017-06-15 20:40:14 [https-jsse-nio-9000-exec-12] INFO  c.c.i.services.InvoiceService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: invoice a objekat je: Invoice{invoice_id=270, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 20:40:14 CEST 2017, invoice_number=3, date_of_currency=Thu Jun 15 20:40:14 CEST 2017, total_tax_basis=0.0, total_vat=0.0, total_price=0.0, billing_account='1234567890', reference_number='97'}
""2017-06-15 20:40:14 [https-jsse-nio-9000-exec-12] INFO  c.c.i.services.Invoice_itemService - Korisnik sa username: worker1 je uradio operaciju: create u tabeli: invoice_item a objekat je: Invoice_item{invoice_item_id=261, invoice=Invoice{invoice_id=270, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 20:40:14 CEST 2017, invoice_number=3, date_of_currency=Thu Jun 15 20:40:14 CEST 2017, total_tax_basis=30000.0, total_vat=6000.0, total_price=30200.0, billing_account='1234567890', reference_number='97'}, item=Item{item_id=60, item_group=Item_group{item_group_id=30, vat_type=Vat_type{vat_type_id=10, name='porez'}, name='elektrotehnika'}, units_of_measurement=Units_of_measurement{units_of_measurement_id=40, abbreviation='kom', name='komad'}, name='racunar', description='null', is_service=false}, total_amount=30, price=1000.0, discount=0.0, vat_basis=1000.0, vat_rate=20.0, vat_amount=200.0, total_price=30200.0}
""2017-06-15 20:40:14 [https-jsse-nio-9000-exec-12] INFO  c.c.i.services.InvoiceService - Korisnik sa username: worker1 je uradio operaciju: update u tabeli: invoice a objekat je: Invoice{invoice_id=270, fiscal_year=Fiscal_year{fiscal_year_id=210, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, number_of_fy=1, active=true}, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, business_partner=Business_partner{business_partner_id=200, company=Company{company_id=90, name='kompanija1', tin=1234567890, city='null', adress='null', telephone='null', company_number=0, current_account='1234567890'}, company_partner=Company{company_id=91, name='kompanija2', tin=1234543212, city='null', adress='null', telephone='null', company_number=0, current_account='1234543212'}, type_of_bp='customer_and_supplier'}, date=Thu Jun 15 20:40:14 CEST 2017, invoice_number=3, date_of_currency=Thu Jun 15 20:40:14 CEST 2017, total_tax_basis=30000.0, total_vat=6000.0, total_price=30200.0, billing_account='1234567890', reference_number='97'}
"
